Plant,Genotype,ADH1,SSC2,SSC3,1,2,3,Side
MK_560_1,ddm1/ddm1,432,12,67,1,1,2,Adaxial
,,,,,2,1,3,Abaxial
MK_560_2,ddm1/+,223,43,14,2,1,1,Adaxial
,,,,,3,2,3,Abaxial
MK_560_3,wt,432,12,67,1,1,2,Adaxial
,,,,,3,2,3,Abaxial
MK_560_4,ddm1/+,189,37,10,2,1,1,Adaxial
,,,,,1,3,2,Abaxial
MK_560_5,ddm1/ddm1,543,8,53,1,1,1,Adaxial
,,,,,3,2,2,Abaxial
MK_560_6,ddm1/+,254,28,20,1,2,1,Adaxial
,,,,,2,3,3,Abaxial
