#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
1209932	40450000	60677000	50563545	4
1211322	3377000	5067000	4222435	4
1211807	3848000	5773000	4810086	7
1213358	2392000	3590000	2991750	4
1214928	1951000	2928000	2437154	4
1221500	3275000	4914000	4094761	4
1221996	3060000	4591000	3815820	4
1230341	2169000	3255000	2711716	4
1232428	2011000	3018000	2514230	8
1232575	2346000	3520000	2932842	8
1234261	240068000	472725000	356396538	4
1234680	1719000	2580000	2149754	4
1234882	986	2498	1742	4
1240404	3748000	5623000	4696572	7
1241978	4290000	6436000	5318634	5
1241981	4474000	6712000	5592921	5
1247836	7443000	11166000	9304913	5
1263550	3070000	4607000	3833877	21
1276936	2100000	3152000	2575397	8
1284706	28845000	43269000	36056803	4
1287055	2195000	3743000	2969002	11
1287735	5479000	8220000	6751894	15
1287736	5489000	8235000	6862332	5
1287738	5013000	7520000	6266614	6
1288121	3188000	4783000	3985109	6
1288410	4306000	6460000	5383013	10
1296538	2814000	4222000	3517549	4
1297617	1737000	4712000	3224506	15
1298633	6532	9798	8165	4
1303590	1498000	2248000	1872612	4
1306993	4564000	6847000	5803761	6
1307800	7640	11000	9550	3
1307955	1927000	3792000	2859491	6
1310165	4607000	6911000	5728250	57
1324617	7509000	11265000	9386773	12
1325090	5692000	11048000	8370078	5
1325107	6869000	10305000	8625957	4
1325358	5459000	8190000	6796208	5
1330491	5630	8654	7142	4
1330520	5913	8870	7392	4
1330521	3677	12000	7355	5
1331258	3630000	5447000	4538520	7
1331689	1593000	2390000	1993034	15
1333651	2018000	3028000	2522665	13
1335613	2841000	4262000	3563044	13
1335626	24000	36000	30119	2
1341132	30236000	45355000	37795466	4
1341643	2398000	7196000	4797290	4
1342299	3452000	5179000	4315149	35
1351752	24232000	49402000	36817204	11
1353891	5448000	8173000	6809508	7
1355374	1807000	2712000	2259947	5
1355477	4882000	13083000	8982827	46
1357716	25124000	51597000	38360624	7
1381081	3844000	5767000	4805300	4
1387563	17259000	25889000	21434136	83
1389713	5774000	8663000	7177273	6
1389922	4762000	7144000	5952595	6
1389932	4608000	6913000	5880388	4
1391911	1997000	2997000	2513136	7
1402135	4018000	6029000	5021984	166
1402861	4119000	6179000	5148918	7
1404367	5617000	8427000	7022301	4
1407499	2582000	3874000	3227860	8
1411144	2651000	4490000	3570568	8
1414603	1629	2444	2037	113
1414720	2928000	4394000	3653762	11
1414721	2890000	4337000	3613503	5
1419277	7342000	11015000	9207580	4
1420917	3582000	5374000	4480477	9
1421430	4860000	7291000	6075436	7
1432052	5998000	8999000	7498469	9
1435036	3009000	4515000	3762438	4
1437360	7273000	10911000	9092036	5
1444770	2223000	3335000	2824879	32
1448857	1370000	2600000	1985000	3
1457153	853000	1280000	1066510	4
1458515	2040000	3061000	2547413	17
1462526	3482000	5224000	4353177	4
1463165	4500000	6700000	5600000	1023
1465486	3357000	5036000	4196272	4
1465754	2738000	4109000	3423352	6
1465809	3096000	4646000	3871245	4
1468449	3301000	4953000	4127024	8
1472165	29704000	44558000	37373455	5
1472416	3835000	5753000	4793915	4
1472761	1808000	2713000	2260701	4
1475143	1402	2103	1753	8
1481663	3600000	4850000	4225000	28
1487726	4967000	7452000	6219208	10
1494075	3150000	5000000	4075000	0
1494963	2658000	3988000	3323019	4
1499973	3699000	5550000	4661416	54
1501662	1631000	2622000	2126590	9
1502842	2221000	3333000	2779316	5
1503054	6171000	9258000	7727470	105
1503055	5521000	8283000	6902106	38
1505723	1315000	1974000	1644230	5
1507512	2431000	3648000	3039683	5
1510570	4391000	6588000	5472828	5
1510841	1607000	2411000	2009012	6
1511761	1655000	2483000	2069029	7
1511783	5532	8299	6916	6
1511871	4216	6324	5270	4
1511891	3775	5662	4719	6
1513251	6128	9192	7660	4
1513256	5841	8762	7302	10
1513257	5713	8570	7142	12
1513258	5792	8689	7241	4
1513260	3631	11000	7262	8
1513263	5460	9124	7292	5
1513264	5790	8685	7238	5
1513276	6224	9336	7780	4
1516159	4378000	6568000	5472963	19
1518534	184285000	305713000	244998823	10
1530123	3192000	4904000	4043041	60
1534553	35000	53000	43842	6
1534743	4493000	6740000	5616484	6
1535768	6381000	9573000	7977238	18
1538159	5620000	8431000	7025714	4
1544694	2567000	3852000	3209866	11
1544695	2684000	4027000	3368045	4
1544861	5104000	12128000	8616209	4
1545044	2795000	4193000	3494033	6
1548018	2201000	3303000	2751696	5
1548713	4450	14000	8901	6
1549855	1917000	2876000	2396383	11
1550024	3014000	4889000	3947882	24
1552123	2824000	4237000	3530500	93
1561004	1931000	2898000	2414737	6
1563222	4300000	6200000	5250000	5
1572645	3141000	4712000	3926432	4
1574161	3227000	4842000	4022812	33
1574624	1909000	2864000	2386557	4
1578165	4002000	6004000	5002934	4
1578720	1265000	1899000	1582109	6
1580596	3382000	5074000	4227715	8
